value,scenario,label
conformity,not liking my parents in law to stay at the house for a week,-1
security,not always cleaning every day,-1
conformity,"constantly engaging in political arguments, much to the annoyance of the people I care about",-1
universalism,walking out on a rude interviewer,1
universalism,My uncle got hit by a car and our nasty justice system will just let the bad guy free.,-1
universalism,helping a girl with school work for a blowjob,-1
conformity,having some friends over that I knew my roommate has issues with,-1
security,making a Facebook post telling parents not to buy their kids live animals as presents,-1
achievement,I procrastinate until the day my work is due.,-1
security,not backing my mate over an insta account,-1
security,"Before he got a chance to eat, I had to clean him up.",1
stimulation,"not contacting Amazon after receiving a refund on a product, for which I didn't ask for a refund",1
security,pushing my friend to make the mother of his child take better care of herself,-1
universalism,telling an anxious friend to be respectful,1
security,asking my roommate to lock the door,1
security,Because of how dating works in the modern world I am convinced short males will be bred out of existance,-1
security,I'm in love with my ex who's in love with his ex.,-1
hedonism,being frustrated that my wife is angry about the sex of our baby,-1
conformity,I am a male crossdress who only likes to wear women underwear,-1
security,not wanting to work the weekend for free during my first week starting at a new job,-1
power,working instead of hanging with my (ex)girlfriend,1
tradition,calling the Bible the Bibble in front of my friend who turned christian heavy in one day,-1
security,"sending a very drunk stranger home in a taxi, I don't know her and am worried about her",1
conformity,not watching my neighbor's kids for free,-1
power,not making a bigger deal over my wife's graduation than a friend's graduation I attended years ago,-1
stimulation,wanting to dye my hair,1
security,pretending I was married in order to sleep with homewreckers,-1
benevolence,"Two years later, they are healthy, happy cats that I love dearly.",1
conformity,wanting to cut my mom off if she keeps smoking/drinking,-1
conformity,adopting more cats,1
self-direction,kissing and having strong feelings for my best friend's ex,1
conformity,I don't respect people who don't praise me,-1
stimulation,"I changed my number after he left, but somehow he got it anyway.",-1
conformity,reprimanding girls at my school about mocking people with mental health issues,-1
security,not supporting my husband,-1
stimulation,"not feeling excited for my friends who are engaged, getting married, and having kids",-1
tradition,telling my dad to f*ck off,-1
tradition,getting annoyed over processions for public safety people who die,-1
tradition,My dad always put up candles in the windows for Christmas.,1
conformity,I emotionally cheated on my exgf. Whenever I read or hear about people who have been cheated on or are worried about it based on their SO's behaviors I hate myself.,-1
conformity,"Whenever I walk into a room, I always put on a seemingly genuine smile...it puts everyone at ease and I receive mostly positive reactions.",1
benevolence,falling out with a best friend who said I need more friends,-1
tradition,thinking my alcoholic coworker should be fired,1
conformity,Act of Supermarket Kindness Touches Cashier and Customers,1
security,I started following pewdiepie after finding out he is a white nationalist,-1
universalism,"If War Breaks Out, I’m Rooting For Iran",-1
security,not taking a girl to her job,-1
benevolence,not wanting to spend all my time with my parents,-1
security,"The New Year’s posts on this sub make me appreciate how good my life actually is, and even though 2019 was a rough year for me, it could also have been a lot worse. Wishing you a happy and healthy 2020.",-1
security,insisting that my parents not look at my passwords when I'm typing them in,1
tradition,I get ridding of my wife's dog,-1
benevolence,Caring for Elderly Relative Involves More Than Money,1
universalism,telling a girl Im seeing I didnt like her being on twitter,-1
stimulation,I've been trolling my friend for the past few days when we discord,1
conformity,freezing my guests,-1
security,I hate my husband,-1
security,I went to the beach with my family.,1
security,asking someone to stop clipping their nails at work,1
security,not allowing my 12 year old daughter to stay the night at her lesbian friends house,1
hedonism,"While we were outside, I thought I'd snap some photos.",1
benevolence,getting upset that because the parent of our youngest child decided to come into our house without being invited,-1
hedonism,not wanting to go clubbing with my (single) best friend because I just don't enjoy it as much anymore,-1
hedonism,I feel like my gym instructor is giving me wrong instructions so that i just spend more money with him.,-1
self-direction,storing guns below my tenants against their wishes,-1
conformity,not formally asking my bf to a dance,-1
achievement,"Everything is going great, but I'm not.",-1
benevolence,I haven’t eaten in two days because I’m too lazy to go to my campuses dining hall and too stressed to be in public with other people.,-1
universalism,asking my girlfriend if we could always use protection,1
benevolence,I have decided to ghost my children,-1
conformity,Recently I’ve been gliding peoples posts as some of the responses that I have gotten have been great. Makes me feel really happy knowing that I made someone smile.,1
security,I never want my girlfriend's dad to meet our children.,-1
conformity,I'm just started living with hoarders... and its starting to get to me.,-1
tradition,blatantly telling my girlfriend's super religious parents that I'm atheist,-1
tradition,saying my S/O's Maid of Honor is a victim playing selfish person and that she was crazy,-1
security,getting a negative staff member fired,1
security,I'm 14 and just ripped up my little brother's science book,-1
achievement,leaving a group project,-1
stimulation,I just spent about 5 minutes envying the life of an ant because my life is so boring and hopeless at the moment,-1
tradition,purposely deleting the rest of my groups work just to make them fail as revenge,-1
benevolence,I'm in love with my fiancee...but...,1
benevolence,"I'm convinced there's something wrong with my identity, although I'm most likely being crazy",-1
security,accidentally breaking my brother's bed,-1
universalism,I recommended them to everybody at my work.,1
universalism,I've never blocked anyone on social media,1
power,not wanting my roommates girlfriend to stay rent-free,1
benevolence,My grandpa is dying. He dosnt know who I am anymore but he held my hand so hard today like he didn't want to let go because I think part of him remembers. I can't stop crying and I don't know how to deal. Everyone else seems to be coping and i dont know how.,1
conformity,buying another pet rat when my sister hates them,-1
security,using both earbuds in public while listening to music,1
tradition,I would love to date an atheist jewish woman.,1
security,I broke my best friends hot tub while she was asleep last night,-1
benevolence,not wanting my boyfriend to meet my parents,-1
conformity,being sarcastic with my husband,-1
universalism,being upset when my bf kept fucking me after I told him I didn't want to without a condom,1
conformity,being about to kick my brother out of the house,-1
security,thinking of excuses to avoid my friend's sister's wedding,-1
conformity,getting pissed that GF shared netflix account with family who keep logging on in another country,-1
security,not being able to work with this mom to babysit,-1
universalism,bothering my dad because he's protective with ice cream,-1
benevolence,sharing my eating disorder recovery process with my niece who is suffering from a similar disorder,1
power,I won't go to my graduation ceremony because i feel that people are better than me!,-1
benevolence,I resent my parents for being and alive and having me because they're the only reason I have to live. I wish they died so I could go more easily.,1
security,telling my brother's gf she's not family and hating her,-1
hedonism,not being happy for my sister going to her dream college,-1
power,Are There Rules for Stretching in Public?,-1
hedonism,I've left my athletes foot untreated for seven plus years because scratching my feet raw at the end of the day is a pleasure unlike anything else,1
power,making my girlfriend show her texts with another boy,1
security,I told the perfect lie to the cops to get me and my mates off the hook,-1
conformity,I was in prison for two days for assault. Got released early for 'good behavior' and can't wait to share my tale! Best. Birthday. EVER!,-1
security,What is your weird “kink”...,-1
conformity,"Since we're confessing about sitcoms, I lose respect for anyone who likes 'How I Met Your Mother' and 'Big Bang Theory'",-1
conformity,calling out my Housemates arrogance,-1
stimulation,not changing my views for the relationship,-1
stimulation,not wanting anything more to do with my father,-1
benevolence,I love mostly everybody,1
security,I'm acting like a crazy ex girlfriend,-1
tradition,going against my parents wishes to go to study medicine,-1
benevolence,I don't want a relationship because I am incapable of feeling romantic love. I have been in over 10 relationships.,-1
self-direction,punching a guy who creeped out underage girls,1
security,I can’t have a healthy relationship.,-1
benevolence,standing up to my bully by using his mom's disease,-1
security,My mother was diagnosed with Uterine cancer 4 months ago.,-1
tradition,I punched a cop so hard in the ear he lost his hearing.,-1
achievement,i literally can't imagine what life with Article 13 is going to be like,-1
achievement,I completely messed up my junior year.,-1
conformity,throwing away my girlfriend's cigarettes after she lied to me about quitting,-1
security,not really caring that mums in hospital... again,-1
security,asking my boyfriend to uninvited his sister,1
benevolence,preferring my daughter do track & field instead of sideline cheer,-1
benevolence,Feeling close to my son,1
hedonism,"having rejecting unprotected sex with my girlfriend, even though I've done it before",-1
tradition,taking my sister with me to my grandparents house without telling my mom,-1
security,wanting to have a final say in our finances,1
security,"I told my brother when we were kids we had a secret sister, for to tell him it was a joke later",-1
hedonism,getting pissed off at my bf for not wanting to be physically intimate even though we're both in a bad emotional place,-1
hedonism,not enjoying time with my family,-1
security,threatening to call the police on my brother in law,-1
achievement,Cancer is the best thing that has ever happened to me.,-1
conformity,considering confronting a regular customer at a store I work for,-1
benevolence,Forgive me father for I have sinned...,1
hedonism,I don’t like when people wish me a happy new year or merry Christmas,-1
self-direction,When I was 10 I wanted to move to Russia to lead a communist revolution and become dictator of the Soviet Union.,1
benevolence,hating and refusing to help a mentally disabled person that attack and almost killed my mother,-1
stimulation,asking my mom to change the decorations in the kitchen,1
security,wanting my brother to spend some of his first paycheck covering the dry cleaning expenses of a very expensive garmit,-1
conformity,wanting to have aunts dog in another room during Christmas,-1
security,i am a guy who when i was 13 years old I stole a purple thong from my sister and wore it under my sweatpants to school.,-1
power,I’m going to bring a knife to Walmart and cut open all the bags of dog food so they spill all over the floor,-1
security,going annoyed at my mom's behavior,-1
benevolence,I feel suffocated. I am not in love with you . And i think I have to leave you. It will a tonne of courage. But I have to do it.,1
universalism,asking my bf to delete old pictures off his facebook,-1
universalism,asking my neighbor ( who is also my ex ) to keep the sex noises down,-1
security,wanting to kick my mom out of my house,-1
power,Used my powers for evil,1
power,"recommending a friend to invest in Bitcoin, only for it to decrease ~50% in value the following month resulting in him losing thousands of dollars",-1
conformity,not wanting to be seen w/ my gamer friends in public,-1
security,not wanting to work together with someone going through mental issues,-1
universalism,rebelling against my Step-Sister for BS,-1
security,Today after 2 years clean I self-harmed again,-1
tradition,A guy i served with just died and i laughed,-1
tradition,crashing my roommates party by blasting death metal,-1
conformity,being amused at pissing off the religious guy,-1
stimulation,I Hate everything about me,-1
security,not wanting my mom's best friend to join us on a trip to the Philippines to visit family,1
benevolence,not feeling sympathy for a friend who recently became homeless,-1
stimulation,I generally find music overstimulating and subsequently I avoid concerts and outdoor festivals as much as possible.,-1
tradition,stealing my college roommate's girlfriend,-1
security,I got mad and beat up gf bad.,-1
universalism,suggesting that our group use google translate to make it easier to talk with a foreign exchange student while working on a project,1
security,I hold on my horn at dawn on my way to work as I pass the hunters getting out of their trucks. I am an animal person and I always hope my horn scares the deer away so they can’t be shot.,1
stimulation,I broke up with my girlfriend and it’s changed my whole attitude on love and relationships,1
universalism,I still regularly lurk the social media profiles of my grade-school bullies.,-1
universalism,So ready to ship my husband's cousin back home,-1
hedonism,i really dont se a point of living anymore,-1
hedonism,I pick my favorite piece of music to play.,1
stimulation,"When i was 17, i faked a picture of my id card to change the date to make me 18 and joined cam4",1
stimulation,i'm about to give up studying for the bar exam and i feel like a loser.,-1
power,Sometimes i am feeling like i dont have any friend to talk to and also at the same time i feel very unmotivated to do anything.,-1
power,This person I barely know has been cyberstalking me for years,-1
security,"I regret fighting with my mother right before she went into a coma. She died without me apologizing probably, i am just hoping she forgave me.",1
security,cutting off contact with someone I was afraid of,1
hedonism,I hate sunny weather. I'm in my comfort zone when it's gloomy and raining.,-1
security,I have no idea how people go from being acquaintances to being in a relationship. No idea how that works. I wish someone would explain it to me.,1
universalism,I never post or comment on anything because I’m scared of being judged,-1
tradition,not taking my best friends new religious views seriously,-1
universalism,"I think Sarah Silverman is a beautiful woman, but not very funny at all.",1
hedonism,I am an artist and I'm afraid to create anything.,-1
benevolence,messed around with friends boyfriend,-1
power,crossing thru someone back yard with permission,1
security,I pretend to travel for work so that I can experiment with drugs.,1
hedonism,"Sometimes I'm not happy because I feel like my boyfriend would sleep with his slutty friends if given the chance, but I still stay and trust him.",-1
hedonism,I feel like I've missed my chance to be happy.,-1
security,hardly talking to my boyfriends mother,1
stimulation,I'm afraid to commit to a girl I like because I fear she'll eventually resent me for committing.,-1
stimulation,I've accepted a new job offer and can't wait to give my 2 weeks to my current role!!,1
universalism,I enjoy talking to myself,-1
security,wanting to have the blinds open at work,1
hedonism,ending a 24 year friendship with my best friend,-1
universalism,tipping my friend/roommate 16% when he was our waiter,-1
security,Invitations From Friend Are Declined for Safety Reasons,1
tradition,licking a kids hand,-1
benevolence,not wanting to share my financial aid information with anyone but my parents,1
tradition,rejecting my dad's suggestion of religion as a solution to possible health issues,-1
security,"My business is struggling, but it gives me anxiety, I dont have a new career path if it fails and if it does, it will really dissapoint my Father who has financially supported it.",1
conformity,Opposites Can Make Marriage Work if There's Mutual Respect,1
hedonism,I don't think my upbringing was as happy as I try to think it was.,-1
power,I did 30 sit ups today.,1
benevolence,Making myself throw up,-1
stimulation,I miss having a deep depression,-1
benevolence,How do I help someone with severe depression who doesn’t want help?,1
security,I don't think children should be shielded from the reality of humanity.,-1
power,I have a slight superiority complex...,1
benevolence,not wanting to stay an extra hour at work because they are short staffed,-1
power,When I was 4yrs old I pulled the fire alarm in a store which caused everyone to run out and I was forced to come clean in front of a crowd of people. Afterwards my mom yelled at me some more for humiliating myself in front on said crowd.,-1
conformity,"I'm not racist, as I believe all races need to be treated equally and with respect, but I firmly believe there are some big differences between races",-1
benevolence,"I have a genuine disdain for almost everyone, and I'm seriously considering throwing everything away and moving to Siberia to deal with it.",-1
universalism,A girl in my class is very beautiful,1
security,leaving my trash in a a park that had no trash bins in it,-1
universalism,not wanting to share my trauma when asking people to not do certain things,1
tradition,asking my boyfriend to pay half my birth control,1
hedonism,I'm extremely lonely and I don't plan on doing much about it.,-1
conformity,I do not feel comfortable eating with vegetarians or vegans.,-1
benevolence,ending a friendship,-1
security,I found they put the plug wires on wrong so I fixed them.,1
benevolence,I am terrified of my own mother,-1
benevolence,lashing out a friend after giving me a place to stay,-1
stimulation,calling out my fiance's very intense opposite sex friendships,1
stimulation,I hate life right now and don't know what to do.,-1
achievement,I only get one linkedin profile view a week,-1
tradition,exposing my ex to other girls,-1
stimulation,I'm more excited for Shazam! than I am for Avengers: Endgame,1
universalism,"making fake Facebook accounts posing as a woman, get guys to hit on me and send the conversions to their girlfriend or wife",-1
achievement,"Whenever i get to meet someone amazing and our connection and chemistry is great, i mess it up thinking he'll leave me anyway...",-1
conformity,I just refused to hug my molester in front of his adult child,-1
security,leaving behind my mentally ill mother,-1
universalism,confronting the guy who cheated on my sister,1
self-direction,Lying to my gf about peeing on her,-1
conformity,having a bf when that's considered unchaste in my culture,-1
security,I gave my sister's husband brain damage and nobody knows it was me,-1
hedonism,I've not spoken to one of my closest friends in nearly two weeks and I couldn't be happier.,-1
hedonism,I Want to Make A Flash Costume,1
power,pressuring my girlfriend to break off her friendship with her bestfriend cause he bullied me and forced me to a different school,1
benevolence,I feel like I am never going to experience being loved,1
stimulation,Emergency Police Banners Give Drivers Peace of Mind,-1
hedonism,My self-confidence has been destroyed by the people around me.,-1
security,I’m a married man with 2 children and in my 40s. I also have a 20-year younger boyfriend.,-1
hedonism,I enjoyed bungee jumping more than I ever imagined.,1
security,moving to a new country when my family is struggling instead of being there,-1
benevolence,I am still in love with my ex but I'm too much of a coward to explain it to my current partner,-1
conformity,I made myself a sociopath,-1
tradition,finding a replacement for me and not my friend,1
security,being mad at my family over a game of risk,-1
benevolence,Just emptied my coin collection for rent money,1
power,firing my buddy,1
security,I masterbated with my cousin all the time,-1
universalism,muting my special needs coworker on a business call,-1
conformity,I’m a guy who enjoys feminine clothing,-1
universalism,"I am always at a moral impasse when it comes to up-voting posts that made me sad or angry. I feel guilty for some reason, but at the same time if I up-vote it will be “more popular” and give more exposure. It’s a conundrum,",-1
conformity,my crush rejected me so now im outside her house,-1
stimulation,Dylan was excited to take his girlfriend somewhere special.,1
security,i hate my sister,-1
benevolence,Old Photos Stir Nostalgia For Long-Ago Love,1
security,I have a family member that is dying and I'm happy about it,-1
security,walking out of my dishwashing job,-1
power,Idk if this belongs here but...,-1
security,I took the food to my friend at his job.,1
universalism,declining all social invitations from my coworkers,-1
security,I work retail and I never wash my hands at work.,-1
benevolence,deleting an old friend who's ignoring me,-1
security,I have a serious problem...,1
conformity,I don't want to live a conventional lifestyle. &amp; I don't know why it's such a strong urge.,-1
hedonism,Wrapping presents is my aesthetic,1
stimulation,potentially failing my classmates,-1
tradition,calling out sick & leaving no one to run the store,-1
benevolence,I love eating junk foods although it not good in our health.,-1
benevolence,not seeing my dad xmas eve,-1
security,being upset/disappointed my bf went and worked out when we had arranged to go to the cinema for a date without letting me know he was going to be late,1
security,I'm going to my son's psychologist just to tell her that she's a whackjob,-1
conformity,telling my drama team to shut the hell up,-1
power,Broken Power Tool Becomes Point of Contention,1
benevolence,Im a transgender female early in her transition who has fallen in love with my male best friend.,1
power,sending a picture of my coworker sleeping on the job to my bosses boss,1
stimulation,He changed it in minutes and was on his way.,1
security,taking issue with my boyfriend's family being racist toward me,1
security,I've tracked down cyber bullies that troll me or threaten me.,1
benevolence,I loved my bestfriend instead of my gf...,-1
hedonism,not being happy when my friend dated,-1
conformity,asking for a blowjob from my gf and making our relationship all about sex,-1
benevolence,reading while my boyfriend and I are eating dinner,-1
conformity,feeling irritated when my girlfriend got upset for no reason,-1
conformity,asking my roommate to stop touching my dog's waterbowl,-1
tradition,I peed on his floor.,-1
benevolence,Workers Who Make Holidays Happy Deserve Our Thanks,1
benevolence,How to End a Friendship Without Hurt Feelings,1
hedonism,James was a dating a girl he really liked.,1
benevolence,He loved the USA like his own country.,1
hedonism,Left my stable and enjoyable job for a higher paying one that may or may not be stable. I took a risk and I hope it pays off. I start in 2 hours.,1
security,I finished the job but it a lot out of me.,1
benevolence,I made an impulsive purchase that resulted in my bank account not having enough funds for my scheduled car payment.,1
stimulation,I've completely lost control of my life,-1
benevolence,telling my friend that something was wrong with her if she needs to drink alcohol after school,1
power,Listening to my classmates struggle over material I know secretly makes me feel superior.,1
security,asking my flatmates to clean up after themselves,1
achievement,I backstabbed a friend because he made my crush happy and hurt myself for her attention.,-1
achievement,I'm doing 100 days of complete sobriety.,1
self-direction,"With her encouragement, I finally finished my run.",-1
security,leaving a job after 3 weeks of training,-1
power,I Think I Am a Psychopath Doctor,1
benevolence,defending my aunt,1
security,My uncle annoys me so I have been taking my petty revenge,-1
power,forcing my gf to break up with me,1
achievement,"sending a letter to USCIS telling them my husband married me for a green card, potentially resulting in him being deported",-1
security,My Son is a Racist,-1
